fountaintype,position,propname,borough,fountaincount,district,point
D,"Under Tree, In Shade, Near Ballfield, In Playground",Sol Bloom Playground,M,1,"D, Under Tree, In Shade, Near Ballfield, In Playground"," (-73.9687192899927,40.78970296781984)"
C,In Playground,Inwood Hill Park,M,1,"C, In Playground"," (-73.92179162426474,40.87007081340488)"
D,"Out in Open, In Shade",Henry Hudson Park,X,1,"D, Out in Open, In Shade"," (-73.91973900523283,40.8806439885113)"
E and Dog,"Out in Open, Just Outside Playground",Riverside Park,M,2,"E and Dog, Out in Open, Just Outside Playground"," (-73.95339503168559,40.826001599673866)"
B,Out in Open,Central Park,M,1,"B, Out in Open"," (-73.96254068866249,40.78218929893345)"
E,In Playground,Rockaway Beach Boardwalk,Q,1,"E, In Playground"," (-73.80186391202999,40.586408896337126)"
Indoor Drinking Fountain,Indoor,Parade Ground,B,1,"Indoor Drinking Fountain, Indoor"," (-73.97118312235727,40.64869343611029)"
A,"Under Tree, In Shade, In Playground",Haffen Park,X,1,"A, Under Tree, In Shade, In Playground"," (-73.8389212608685,40.873235484931804)"
Other,In Playground,Yak Playground,B,1,"Other, In Playground"," (-73.9368256492473,40.59220470253074)"
A,Under Tree,Franklin D. Roosevelt Boardwalk and Beach,R,1,"A, Under Tree"," (-74.09163387301888,40.56864763880059)"
Indoor Drinking Fountain,Indoor,The Battery,M,1,"Indoor Drinking Fountain, Indoor"," (-74.01469281878893,40.70174692947754)"
A,In Playground,Bill Brown Playground,B,1,"A, In Playground"," (-73.94536326908528,40.59165488005311)"
E,Out in Open,Franklin D. Roosevelt Boardwalk and Beach,R,1,"E, Out in Open"," (-74.0850107815948,40.572962911199085)"
CS Metal,,Spuyten Duyvil Playground,X,1,"CS Metal,"," (-73.9162476569225,40.88711155097975)"
C,"Under Tree, In Shade, Out in Open",Doughboy Park,Q,1,"C, Under Tree, In Shade, Out in Open"," (-73.90863508084918,40.74625379402423)"
A,"Near Ballfield, Out in Open",McCarren Park,B,1,"A, Near Ballfield, Out in Open"," (-73.95289157460064,40.72127926588148)"
E,Out in Open,Glendale Veterans Triangle,Q,1,"E, Out in Open"," (-73.88083294777776,40.7018458763208)"
C,Just Outside Playground,Marine Park,B,1,"C, Just Outside Playground"," (-73.93684364689679,40.60849265148643)"
Bottle Filler High Low,Out in Open,,B,3,"Bottle Filler High Low, Out in Open"," (-73.92091312563096,40.58339328880563)"
C,Just Outside Playground,Owl's Head Park,B,1,"C, Just Outside Playground"," (-74.03015708041453,40.64052403518207)"
Drinking Fountain Sink Combination,Indoor,Howard Pool,B,2,"Drinking Fountain Sink Combination, Indoor"," (-73.90912387988412,40.672790278214)"
C,In Playground,Sheltering Arms Playground,M,1,"C, In Playground"," (-73.95592224556765,40.81533402236664)"
E and Dog,"In Shade, Out in Open",Central Park,M,2,"E and Dog, In Shade, Out in Open"," (-73.97539706676469,40.77457521707225)"
F High Low,,Kolbert Playground,B,2,"F High Low,"," (-73.95772746220474,40.6203110352097)"
CS Concrete,Just Outside Playground,Emerald Playground,Q,1,"CS Concrete, Just Outside Playground"," (-73.80606687762636,40.73077147326823)"
E,Under Tree,Tappen Park,R,1,"E, Under Tree"," (-74.07621214519354,40.62704697371179)"
A,"Under Tree, In Playground",Kissena Park,Q,1,"A, Under Tree, In Playground"," (-73.80325400432397,40.74876132982174)"
C,"Just Outside Playground, Out in Open",Gravesend Park,B,1,"C, Just Outside Playground, Out in Open"," (-73.98392976836541,40.62341044728178)"
Indoor Drinking Fountain,Indoor,Forest Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.85811474286592,40.700822301669675)"
Other,,Washington Market Park,M,1,"Other,"," (-74.01216947320933,40.717227004129725)"
CS Metal,In Playground,Stapleton Playground,R,1,"CS Metal, In Playground"," (-74.0791244232181,40.622677147574635)"
C,"In Playground, Under Tree",Potomac Playground,B,1,"C, In Playground, Under Tree"," (-73.94400803330224,40.6820277777375)"
D,Under Tree,Peters Field,Q,1,"D, Under Tree"," (-73.77467567270777,40.70659190492529)"
F High Low and Dog,Near Dog Run,Bronx Park,X,3,"F High Low and Dog, Near Dog Run"," (-73.87036712801282,40.855780340766216)"
A,Near Ballfield,Soundview Park,X,1,"A, Near Ballfield"," (-73.87881496771051,40.817577713240794)"
E,"Near Ballfield, In Playground",Lillian D Wald Playground,M,1,"E, Near Ballfield, In Playground"," (-73.98397289567228,40.711958714371455)"
D,Just Outside Playground,Frank D. O'Connor Playground,Q,1,"D, Just Outside Playground"," (-73.88641265254807,40.74411284389979)"
B,"Under Tree, Just Outside Playground",Tompkins Square Park,M,1,"B, Under Tree, Just Outside Playground"," (-73.98157137935475,40.72566964180139)"
E,In Playground,Prospect Park,B,1,"E, In Playground"," (-73.96314527474088,40.65848938286666)"
A,Near Ballfield,Roberto Clemente Ballfield,B,1,"A, Near Ballfield"," (-73.96768586093538,40.70673529324823)"
D,"Under Tree, In Playground, Near Ballfield",ABC Playground,M,1,"D, Under Tree, In Playground, Near Ballfield"," (-73.98615357749681,40.721828150422624)"
A,"Under Tree, In Shade, In Playground",Arcilla Playground,X,1,"A, Under Tree, In Shade, In Playground"," (-73.9147264342499,40.827358278162826)"
A,Near Ballfield,Gen. Douglas MacArthur Park,R,1,"A, Near Ballfield"," (-74.0999079054742,40.58746929856685)"
D,"Under Tree, In Playground",Audubon Playground,M,1,"D, Under Tree, In Playground"," (-73.93789744150914,40.841626412268674)"
E,"Under Tree, In Shade, In Playground",Curtis Playground,B,1,"E, Under Tree, In Shade, In Playground"," (-73.91747550497843,40.640750612406705)"
B,"Under_Tree,In_Shade",Forest Park,Q,1,"B, Under_Tree,In_Shade"," (-73.86645874938941,40.69608260780152)"
C,Under Tree,Ambrosini Field,X,1,"C, Under Tree"," (-73.78510352510303,40.844189021840585)"
Drinking Fountain Sink Combination,Indoor,Bushwick Playground,B,2,"Drinking Fountain Sink Combination, Indoor"," (-73.93959605538298,40.701844576062044)"
D,Out in Open,Flushing Meadows Corona Park,Q,1,"D, Out in Open"," (-73.83875370361937,40.744821073391826)"
A,Near Ballfield,Shore Park and Parkway,B,1,"A, Near Ballfield"," (-74.03898702985074,40.63257454119041)"
CS Concrete,In Shade,Benson Playground,B,1,"CS Concrete, In Shade"," (-74.00203719957888,40.60233082512583)"
E and Dog,Out in Open,Crotona Park,X,2,"E and Dog, Out in Open"," (-73.89352657037647,40.83795424047762)"
C,"Under Tree, In Playground",Aqueduct Walk,X,1,"C, Under Tree, In Playground"," (-73.90885126413168,40.857290285667126)"
Bottle Filler High Low,Under_Tree,Simeone Park,Q,3,"Bottle Filler High Low, Under_Tree"," (-73.8600317355641,40.74127306643895)"
B,Under Tree,Stuyvesant Square,M,1,"B, Under Tree"," (-73.98502254235868,40.733464907641256)"
CS Concrete,"In Playground, Near Ballfield",Cunningham Park,Q,1,"CS Concrete, In Playground, Near Ballfield"," (-73.76514013381069,40.73916581521506)"
A,Under Tree,Pelham Bay Park,X,1,"A, Under Tree"," (-73.7926006744865,40.86858782184324)"
Indoor Drinking Fountain,Indoor,Hansborough Recreation Center,M,1,"Indoor Drinking Fountain, Indoor"," (-73.93933148840306,40.81283497124638)"
F High Low,Under Tree,Police Officer Nicholas Demutiis Park,Q,2,"F High Low, Under Tree"," (-73.83950531240352,40.68181551278844)"
A,In Shade,Bayswater Park,Q,1,"A, In Shade"," (-73.76758492617432,40.59877858273412)"
B,"In Playground, Out in Open",Central Park,M,1,"B, In Playground, Out in Open"," (-73.9641393573856,40.79172507475275)"
Other,In Playground,MacArthur Playground,M,1,"Other, In Playground"," (-73.9649812524264,40.75247965438102)"
A,In Playground,Markham Playground,R,1,"A, In Playground"," (-74.14637146237345,40.6230751762762)"
C,Under Tree,Lincoln Terrace / Arthur S. Somers Park,B,1,"C, Under Tree"," (-73.92632114042034,40.66662543025652)"
A,Out in Open,Alley Athletic Playground,Q,1,"A, Out in Open"," (-73.73496573862556,40.73975826373852)"
Other,,Central Park,M,1,"Other,"," (-73.9732655888576,40.7714333358601)"
E,Out in Open,Little Bay Park,Q,1,"E, Out in Open"," (-73.78196738491047,40.7905176226034)"
A,Near Ballfield,Inwood Hill Park,M,1,"A, Near Ballfield"," (-73.93075704323995,40.871220029647354)"
B,Out in Open,John Jay Park,M,1,"B, Out in Open"," (-73.94931784862372,40.7695387468767)"
A,"In Playground, Under Tree",Marcy Playground,B,1,"A, In Playground, Under Tree"," (-73.9497266649561,40.695665440011744)"
C,"In Shade, Near Ballfield",City Line Park,B,1,"C, In Shade, Near Ballfield"," (-73.87622969906474,40.679452667768054)"
C,Out in Open,Rev Lena Irons Unity Park,X,1,"C, Out in Open"," (-73.9068621116622,40.83099175393321)"
A,In Playground,Greenwood Playground,B,1,"A, In Playground"," (-73.97597657918863,40.64989813672376)"
E,Out in Open,Fraser Square,B,1,"E, Out in Open"," (-73.94119851636638,40.61998303228807)"
E High Low,"Out in Open, Just Outside Playground",Travers Park,Q,2,"E High Low, Out in Open, Just Outside Playground"," (-73.88929401588946,40.75421699172149)"
F High Low,"In Shade, Under Tree, In Playground",Mathews-Palmer Playground,M,2,"F High Low, In Shade, Under Tree, In Playground"," (-73.99291493802907,40.76124622998091)"
Indoor Drinking Fountain,Indoor,Lyons Pool,R,1,"Indoor Drinking Fountain, Indoor"," (-74.0747536426354,40.63753587251554)"
C,"In Playground, Under Tree",St. John's Park,B,1,"C, In Playground, Under Tree"," (-73.93552933115146,40.67397216267853)"
A,In Playground,Playground One Forty,Q,1,"A, In Playground"," (-73.8009603868289,40.67475371951515)"
A,"Under Tree, In Shade",Bailey Playground,X,1,"A, Under Tree, In Shade"," (-73.9009038405064,40.88078490515939)"
F High Low,Out in Open,Hinton Park,Q,2,"F High Low, Out in Open"," (-73.8545132469689,40.75534253989659)"
A,Out in Open,Harvard Playground,Q,1,"A, Out in Open"," (-73.78159488889396,40.70919024136844)"
A,"Under Tree, In Playground",Jackie Robinson Park Playground,B,1,"A, Under Tree, In Playground"," (-73.9276852236828,40.68014216340411)"
A,Near Ballfield,CPL. Thompson Park,R,1,"A, Near Ballfield"," (-74.11852492665933,40.63903698518104)"
CS Concrete,Just Outside Playground,Winthrop Playground,B,1,"CS Concrete, Just Outside Playground"," (-73.95475888839107,40.656507732107094)"
C,In Playground,Westbourne Playground,Q,1,"C, In Playground"," (-73.76466380560088,40.608274384725235)"
A,Near Ballfield,Van Cortlandt Park,X,1,"A, Near Ballfield"," (-73.87824711127223,40.8959329017034)"
A,Near Ballfield,Kissena Corridor Park,Q,1,"A, Near Ballfield"," (-73.7825657920862,40.74309381749027)"
E,Out in Open,Mount Prospect Park,B,1,"E, Out in Open"," (-73.96738302987104,40.67162886258754)"
A,,Silver Lake Park,R,1,"A,"," (-74.09896655231285,40.62807644467915)"
A,Out in Open,Alley Pond Park,Q,1,"A, Out in Open"," (-73.73991365448035,40.74142438648531)"
Bottle Filler High Low,Near Ballfield,J. Hood Wright Park,M,3,"Bottle Filler High Low, Near Ballfield"," (-73.94044467775475,40.84702092385858)"
B,"Under Tree, Out in Open",Central Park,M,1,"B, Under Tree, Out in Open"," (-73.97441557847947,40.768968361895546)"
A,"In Playground, Near Ballfield",St. Nicholas Playground South,M,1,"A, In Playground, Near Ballfield"," (-73.94712526591339,40.81130629443515)"
Indoor Drinking Fountain,Indoor,Betsy Head Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.91219541563845,40.66300249902035)"
Indoor Drinking Fountain,Indoor,McCarren Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.94992997567486,40.7200816932747)"
C,Near Ballfield,Prall Playground,R,1,"C, Near Ballfield"," (-74.11811722300595,40.62840769500427)"
A,Out in Open,Crosson Green,Q,1,"A, Out in Open"," (-73.89665258417033,40.742343154138375)"
C,"In Playground, Near Ballfield, Under Tree",McCaffrey Playground,M,1,"C, In Playground, Near Ballfield, Under Tree"," (-73.99120683558976,40.758965787752224)"
E High Low,Out in Open,Randall's Island Park,M,2,"E High Low, Out in Open"," (-73.92423182251638,40.793247838383984)"
E High Low,In Playground,Forest Park,Q,2,"E High Low, In Playground"," (-73.84742703957433,40.69884798387008)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.84430957021617,40.745571732202684)"
E,"Near Ballfield, Under Tree, Out in Open",Central Park,M,1,"E, Near Ballfield, Under Tree, Out in Open"," (-73.97766443733022,40.77077914114413)"
C,In Playground,Albert J. Parham Playground,B,1,"C, In Playground"," (-73.97079104629894,40.69057082077208)"
A,,Vinmont Veteran Park,X,1,"A,"," (-73.90406782602015,40.90283441615572)"
F,"Out in Open, Near Ballfield, Just Outside Playground",Commodore Barry Park,B,1,"F, Out in Open, Near Ballfield, Just Outside Playground"," (-73.97829746398546,40.69747916670235)"
A,In Playground,Shore Park and Parkway,B,1,"A, In Playground"," (-74.040028961116,40.617545427186876)"
A,In Playground,Beach 9 Playground,Q,1,"A, In Playground"," (-73.74468190867563,40.5956273605227)"
B,"Under Tree, In Playground",Saratoga Park,B,1,"B, Under Tree, In Playground"," (-73.9180077142714,40.685222361587975)"
E,Out in Open,Manhattan Beach Park,B,1,"E, Out in Open"," (-73.94539616551698,40.576583264527386)"
C,Near Ballfield,Chelsea Park,M,1,"C, Near Ballfield"," (-74.00174438107659,40.750602110225635)"
A,Near Ballfield,Sutter Ballfields,B,1,"A, Near Ballfield"," (-73.88783071962041,40.670800737339704)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.98333906612712,40.572653737388265)"
E,"Out in Open, Just Outside Playground",Joyce Kilmer Park,X,1,"E, Out in Open, Just Outside Playground"," (-73.92166085784345,40.82955947669015)"
C,Out in Open,Breininger Park,Q,1,"C, Out in Open"," (-73.72879563895773,40.725961964773475)"
CS Concrete,Out in Open,General Hart Playground,Q,1,"CS Concrete, Out in Open"," (-73.89725879422063,40.74875338310494)"
Indoor Drinking Fountain,Indoor,Crotona Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.89775674440803,40.84050370314434)"
A,"Near Ballfield, In Playground",St. Andrew's Playground,B,1,"A, Near Ballfield, In Playground"," (-73.94282703420701,40.67826054828411)"
D,In Playground,Dodger Playground,B,1,"D, In Playground"," (-73.95239407028299,40.6647964089282)"
C,"Out in Open, In Playground",Russell Sage Playground,Q,1,"C, Out in Open, In Playground"," (-73.85165777074732,40.724206273219856)"
Trough,Out in Open,Rockaway Beach,Q,1,"Trough, Out in Open"," (-73.84015591200699,40.57601617532442)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.97572557550173,40.573496152603184)"
E,"Under Tree, Near Ballfield, Just Outside Playground",De Witt Clinton Park,M,1,"E, Under Tree, Near Ballfield, Just Outside Playground"," (-73.9946988192302,40.76827472292362)"
C,"Under Tree, In Playground",City Line Park,B,1,"C, Under Tree, In Playground"," (-73.87395157236494,40.678682013620865)"
D,In Playground,Martin Luther Playground,B,1,"D, In Playground"," (-74.0199006081825,40.645681791193056)"
C,In Playground,Harding Park,X,1,"C, In Playground"," (-73.85682431340882,40.809550159707015)"
B,Out in Open,Central Park,M,1,"B, Out in Open"," (-73.97638599015113,40.766243278514374)"
A,Near Ballfield,Mafera Park,Q,1,"A, Near Ballfield"," (-73.89052423750304,40.7081037032816)"
E,"Under Tree, In Shade, Out in Open",Central Park,M,1,"E, Under Tree, In Shade, Out in Open"," (-73.96982876860937,40.78335461815584)"
A,In Playground,Midland Field,R,1,"A, In Playground"," (-74.09912488036666,40.57689781067362)"
E High Low,"Out in Open, In Playground",Harry Maze Playground,B,2,"E High Low, Out in Open, In Playground"," (-73.92316191505196,40.642939999799125)"
Indoor Drinking Fountain,Indoor,Flushing Meadows Corona Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.83377790153129,40.751409211946985)"
C,Just Outside Playground,Corona Golf Playground,Q,1,"C, Just Outside Playground"," (-73.85475596256416,40.74762977579671)"
Indoor Drinking Fountain,Indoor,Rose Hill Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.89075977073031,40.86171676683127)"
Indoor Drinking Fountain,Indoor,Flushing Meadows Corona Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.8430026304149,40.75175082247386)"
D,Near Ballfield,Cunningham Park,Q,1,"D, Near Ballfield"," (-73.77288663439457,40.73698208053676)"
C,Out in Open,Powell Playground,B,1,"C, Out in Open"," (-73.90467831386955,40.67101246218435)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.9881717051624,40.57218589994164)"
A,"Near Ballfield, Out in Open",McGuire Fields,B,1,"A, Near Ballfield, Out in Open"," (-73.89870325598791,40.618411150439115)"
J,Near Ballfield,Van Cortlandt Park,X,1,"J, Near Ballfield"," (-73.89746130080891,40.88746623215077)"
CS Metal,In Playground,Bronx Park,X,1,"CS Metal, In Playground"," (-73.86868101701872,40.851456921759834)"
E,"In Shade, In Playground",Rodney Playground Center,B,1,"E, In Shade, In Playground"," (-73.95556987988944,40.710169222445494)"
A,"Under Tree, Near Ballfield, In Shade",Parade Ground,B,1,"A, Under Tree, Near Ballfield, In Shade"," (-73.96647500796487,40.65290302493618)"
C,Near Ballfield,Columbus Park,M,1,"C, Near Ballfield"," (-74.00003224513226,40.714812359185515)"
A,In Playground,Park,B,1,"A, In Playground"," (-73.97398568393663,40.65093467476815)"
Indoor Drinking Fountain,Indoor,Brownsville Playground,B,1,"Indoor Drinking Fountain, Indoor"," (-73.90278394172616,40.65622334615274)"
B,Near Ballfield,Morningside Park,M,1,"B, Near Ballfield"," (-73.95671532508064,40.80822602822273)"
B,In Shade,Hero Park,R,1,"B, In Shade"," (-74.08717571986726,40.63029690571574)"
A,Out in Open,Bensonhurst Park,B,1,"A, Out in Open"," (-74.00145474976613,40.595620500643804)"
D,"Under Tree, In Playground",Vidalia Park,X,1,"D, Under Tree, In Playground"," (-73.88143934742992,40.84418771623149)"
E,"In Shade, Under Tree, In Playground",Calvert Vaux Park,B,1,"E, In Shade, Under Tree, In Playground"," (-73.99084042942368,40.587565614883616)"
C,"Under Tree, In Shade",Fish Playground,B,1,"C, Under Tree, In Shade"," (-73.91420831707445,40.67827185782987)"
